city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
Yingkou,Liaoning,CHN,CSWD,544710,40.67,122.27,8,3.3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Liaoning.Yingkou.544710_CSWD.zip
Westfield Barnes Muni Ap,MA,USA,TMY3,744915,42.15,-72.72,-5,83,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MA_Westfield-Barnes.Muni.AP.744915_TMY3.zip
Ruoqiang,Xinjiang Uygur,CHN,CSWD,517770,39.03,88.17,8,887.7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Xinjiang.Uygur.Ruoqiang.517770_CSWD.zip
Ely Muni,MN,USA,TMY3,727459,47.82,-91.83,-6,455,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Ely.Muni.AP.727459_TMY3.zip
Southern Illinois,IL,USA,TMY3,724336,37.77,-89.25,-6,128,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IL_Carbondale-Southern.Illinois.AP.724336_TMY3.zip
St Cloud Regional Arpt,MN,USA,TMY3,726550,45.55,-94.05,-6,311,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_St.Cloud.Muni.AP.726550_TMY3.zip
Baker Municipal Ap,OR,USA,TMY3,726886,44.83,-117.82,-8,1027,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Baker.Muni.AP.726886_TMY3.zip
KARLSTAD,-,SWE,IWEC Data,24180,59.37,13.47,1,55,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/SWE_Karlstad.024180_IWEC.zip
England Afb,LA,USA,TMY3,747540,31.32,-92.55,-6,27,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_LA_Alexandria-England.AFB.747540_TMY3.zip
Seattle Seattle Tacoma Intl A,WA,USA,TMY3,727930,47.47,-122.32,-8,122,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.zip
EAGLE,CO,USA,TMY2-23063,724675,39.65,-106.92,-7,1985,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CO_Eagle.724675_TMY2.zip
Toledo Express Airport,OH,USA,TMY3,725360,41.58,-83.8,-5,204,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OH_Toledo.Express.AP.725360_TMY3.zip
Alexandria Esler Regional Ap,LA,USA,TMY3,722487,31.4,-92.3,-6,34,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_LA_Alexandria-Esler.Rgnl.AP.722487_TMY3.zip
Coffs Harbour,NSW,AUS,RMY,947910,-30.32,153.12,10,6,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_NSW.Coffs.Harbour.947910_RMY.zip
CALCUTTA,-,IND,IWEC Data,428090,22.65,88.45,5.5,6,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Calcutta.428090_IWEC.zip
Ottawa Int'l,ON,CAN,WYEC2-B-04772,716280,45.32,-75.67,-5,114,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_ON_Ottawa.716280_CWEC.zip
Martinsburg Eastern Wv Reg Ap,WV,USA,TMY3,724177,39.4,-77.98,-5,162,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WV_Martinsburg-Eastern.WV.Rgnl.AP.724177_TMY3.zip
Qinzhou,Guangxi Zhuang,CHN,CSWD,596320,21.95,108.62,8,4.5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Guangxi.Zhuang.Qinzhou.596320_CSWD.zip
Ainsworth Municipal,NE,USA,TMY3,725556,42.58,-100,-6,789,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Ainsworth.Muni.AP.725556_TMY3.zip
FLORIANOPOLIS_ARPT,-,BRA,SWERA,838990,-27.67,-48.55,-3,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/3_south_america_wmo_region_3/BRA_Florianopolis.838990_SWERA.zip
Changchun,Jilin,CHN,CSWD,541610,43.9,125.22,8,236.8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Jilin.Changchun.541610_CSWD.zip
Dandong,Liaoning,CHN,CSWD,544970,40.05,124.33,8,13.8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Liaoning.Dandong.544970_CSWD.zip
Przemysl,-,POL,IMGW,126950,49.78,22.78,1,280,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/POL_Przemysl.126950_IMGW.zip
Milwaukee Mitchell Intl Ap,WI,USA,TMY3,726400,42.95,-87.9,-6,205,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.zip
Camp Mabry,TX,USA,TMY3,722544,30.32,-97.77,-6,198,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Austin-Camp.Mabry.722544_TMY3.zip
Willis Island,QLD,AUS,RMY,942990,-16.3,149.97,10,9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_QLD.Willis.Island.942990_RMY.zip
Climate Zone 13,CA,USA,CTZRV2,723890,36.8,-119.7,-8,100,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/2_california_climate_zones/CZ13RV2.zip
MOLINE,IL,USA,TMY2-14923,725440,41.45,-90.52,-6,181,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IL_Moline.725440_TMY2.zip
Fort Riley Marshall Aaf,KS,USA,TMY3,724550,39.05,-96.77,-6,324,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KS_Fort.Riley-Marshall.AAF.724550_TMY3.zip
