city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
Xichang,Sichuan,CHN,CSWD,565710,27.9,102.27,8,1590.9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Sichuan.Xichang.565710_CSWD.zip
ROCK_SPRINGS,WY,USA,TMY2-24027,725744,41.6,-109.07,-7,2056,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WY_Rock.Springs.725744_TMY2.zip
Roswell Industrial Air Park,NM,USA,TMY3,722680,33.3,-104.53,-7,1112,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NM_Roswell.Industrial.Air.Park.722680_TMY3.zip
Coeur D Alene Awos,ID,USA,TMY3,727834,47.77,-116.82,-8,707,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ID_Coeur.dAlene.AWOS.727834_TMY3.zip
Alexandria Municipal Ap,MN,USA,TMY3,726557,45.88,-95.4,-6,433,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Alexandria.Muni.AP.726557_TMY3.zip
Skagway Airport,AK,USA,TMY3,703620,59.47,-135.3,-9,9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Skagway.AP.703620_TMY3.zip
Columbia,SC,USA,TMY--13883,723100,33.95,-81.12,-5,69,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_SC_Columbia.Metro.AP.723100_TMY.zip
North Adams,MA,USA,TMY3,725075,42.7,-73.17,-5,201,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MA_North.Adams.AP.725075_TMY3.zip
CANBERRA,-,AUS,IWEC Data,949260,-35.3,149.18,10,577,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_ACT.Canberra.949260_IWEC.zip
TRAVERSE_CITY,MI,USA,TMY2-14850,726387,44.73,-85.58,-5,192,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Traverse.City.726387_TMY2.zip
GALATI,-,ROM,IWEC Data,153100,45.5,28.02,2,72,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ROU_Galati.153100_IWEC.zip
Nenana Municipal Ap,AK,USA,TMY3,702600,64.55,-149.1,-9,109,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Nenana.Muni.AP.702600_TMY3.zip
MANAGUA/AUGUSTO_CES,-,NIC,SWERA,787410,12.15,-86.17,-6,50,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/NIC_Managua-Augusto.CES.787410_SWERA.zip
Cloquet  Awos,MN,USA,TMY3,726558,46.7,-92.5,-6,390,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Cloquet.AWOS.726558_TMY3.zip
YUMENZHEN,-,CHN,SWERA,524360,40.27,97.03,8,1527,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Gansu.Yumenzhen.524360_SWERA.zip
Nashville,TN,USA,TMY--13897,723270,36.13,-86.68,-6,180,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TN_Nashville.Intl.AP.723270_TMY.zip
Riviere Du Loup,PQ,CAN,WYEC2-B-CAN12,717150,47.8,-69.55,-5,148,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_PQ_Riviere.du.Loup.717150_CWEC.zip
Jackson International Ap,MS,USA,TMY3,722350,32.32,-90.08,-6,94,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MS_Jackson.Intl.AP.722350_TMY3.zip
Jackson Hole,WY,USA,TMY3,725776,43.6,-110.73,-7,2016,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WY_Jackson.Hole.AP.725776_TMY3.zip
Treviso-S Angelo,-,ITA,IGDG,160990,45.65,12.18,1,18,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Treviso-S.Angelo.160990_IGDG.zip
Leting,Hebei,CHN,CSWD,545390,39.43,118.88,8,10,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Hebei.Leting.545390_CSWD.zip
Climate Zone 5,CA,USA,CTZRV2,723940,34.9,-120.4,-8,72,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/2_california_climate_zones/CZ05RV2.zip
Teterboro Airport,NJ,USA,TMY3,725025,40.85,-74.07,-5,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NJ_Teterboro.AP.725025_TMY3.zip
Truckee Tahoe,CA,USA,TMY3,725846,39.32,-120.13,-8,1798,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Truckee.Tahoe.AP.725846_TMY3.zip
HURON,SD,USA,TMY2-14936,726540,44.38,-98.22,-6,393,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_SD_Huron.726540_TMY2.zip
Douglas Bisbee Douglas Intl A,AZ,USA,TMY3,722735,31.47,-109.6,-7,1249,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AZ_Douglas-Bisbee.Douglas.Intl.AP.722735_TMY3.zip
Raciborz,-,POL,IMGW,125400,50.08,18.2,1,206,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/POL_Raciborz.125400_IMGW.zip
OMAHA,NE,USA,TMY2-94918,725500,41.37,-96.52,-6,404,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Omaha.725500_TMY2.zip
BELEM,-,BRA,IWEC Data,821930,-1.38,-48.48,-3,16,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/3_south_america_wmo_region_3/BRA_Belem.821930_IWEC.zip
CIENFUEGOS,-,CUB,SWERA,783440,22.13,-80.45,-5,13,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/CUB_Cienfuegos.783440_SWERA.zip
GRAND_RAPIDS,MI,USA,TMY2-94860,726350,42.88,-85.52,-5,245,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Grand.Rapids.726350_TMY2.zip
North Battleford,SK,CAN,WYEC2-B-25012,718760,52.77,-108.25,-6,548,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_SK_North.Battleford.718760_CWEC.zip
Raleigh/Durham,NC,USA,TMY--13722,723060,35.87,-78.78,-5,134,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NC_Raleigh-Durham.Intl.AP.723060_TMY.zip
Jamestown Municipal Arpt,ND,USA,TMY3,727535,46.92,-98.68,-6,455,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ND_Jamestown.Muni.AP.727535_TMY3.zip
Climate Zone 7,CA,USA,CTZRV2,722900,32.7,-117.2,-8,4,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/2_california_climate_zones/CZ07RV2.zip
Asheville Regional Arpt,NC,USA,TMY3,723150,35.43,-82.53,-5,652,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NC_Asheville.Rgnl.AP.723150_TMY3.zip
MANAUS,-,BRA,SWERA,821110,-3.13,-60.02,-4,72,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/3_south_america_wmo_region_3/BRA_Manaus.823310_SWERA.zip
Trapani-Birgi,-,ITA,IGDG,164290,37.92,12.5,1,7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Trapani-Birgi.164290_IGDG.zip
Seattle Boeing Field  Isis,WA,USA,TMY3,727935,47.68,-122.25,-8,20,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WA_Seattle-Boeing.Field.727935_TMY3.zip
Lynchburg Regional Arpt,VA,USA,TMY3,724100,37.33,-79.2,-5,286,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.zip
PHILADELPHIA,PA,USA,TMY2-13739,724086,39.88,-75.25,-5,9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_PA_Philadelphia.724086_TMY2.zip
Geraldton Airport,WA,AUS,RMY,944030,-28.8,114.7,8,35,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_WA.Geraldton.Airport.944030_RMY.zip
JOHANNESBURG,-,ZAF,IWEC Data,683680,-26.13,28.23,2,1700,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/1_africa_wmo_region_1/ZAF_Johannesburg.683680_IWEC.zip
JERSEY/CHANNEL ISLANDS,-,GBR,IWEC Data,38950,49.22,-2.2,0,84,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/GBR_Jersey.Channel.Islands.038950_IWEC.zip
Lakeview  Awos,OR,USA,TMY3,725976,42.17,-120.4,-8,1441,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Lakeview.AWOS.725976_TMY3.zip
El Paso International Ap  Ut,TX,USA,TMY3,722700,31.77,-106.5,-7,1186,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_El.Paso.Intl.AP.722700_TMY3.zip
DALIAN/DAIREN/LUDA,-,CHN,SWERA,546620,38.9,121.63,8,97,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Liaoning.Dalian.546620_SWERA.zip
SHANGHAI,-,CHN,IWEC Data,583670,31.17,121.43,8,7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Shanghai.Shanghai.583670_IWEC.zip
Logrono,-,ESP,SWEC,80840,42.45,-2.33,1,363,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ESP_Logrono.080840_SWEC.zip
St Joseph Rosecrans Memorial,MO,USA,TMY3,724490,39.77,-94.9,-6,247,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MO_St.Joseph-Rosecrans.Mem.AP.724490_TMY3.zip
Nacogdoches  Awos,TX,USA,TMY3,722499,31.58,-94.72,-6,108,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Nacogdoches.AWOS.722499_TMY3.zip
New Orleans Alvin Callender F,LA,USA,TMY3,722316,29.82,-90.02,-6,2,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_LA_New.Orleans-Alvin.Callender.Field.722316_TMY3.zip
Provincetown  Awos,MA,USA,TMY3,725073,42.07,-70.22,-5,2,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MA_Provincetown.AWOS.725073_TMY3.zip
OSTERSUND/FROSON,-,SWE,IWEC Data,22260,63.18,14.5,1,370,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/SWE_Ostersund.Froson.022260_IWEC.zip
Grand Junction,CO,USA,TMY--23066,724760,39.12,-108.53,-7,1475,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CO_Grand.Junction-Walker.Field.724760_TMY.zip
Wittman Rgnl,WI,USA,TMY3,726456,43.98,-88.55,-6,253,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WI_Wittman.Rgnl.AP.726456_TMY3.zip
Willow Grove Nas,PA,USA,TMY3,724086,40.2,-75.15,-5,102,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_PA_Willow.Grove.NAS.724086_TMY3.zip
Santa Barbara Municipal Ap,CA,USA,TMY3,723925,34.43,-119.85,-8,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Santa.Barbara.Muni.AP.723925_TMY3.zip
Great Falls/Malmstrom,MT,USA,TMY--24143,727750,47.5,-111.18,-7,1075,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MT_Great.Falls.Intl.AP.727750_TMY.zip
Ganyu,Jiangsu,CHN,CSWD,580400,34.83,119.12,8,3.3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Jiangsu.Ganyu.580400_CSWD.zip
Chulitna,AK,USA,TMY3,702606,62.88,-149.83,-9,381,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Chulitna.702606_TMY3.zip
Dongcheng,Anhui,CHN,CSWD,583190,31.07,116.95,8,85.4,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Anhui.Dongcheng.583190_CSWD.zip
Valladolid,-,ESP,SWEC,81410,41.65,-4.77,1,735,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ESP_Valladolid.081410_SWEC.zip
Lecce,-,ITA,IGDG,163320,40.23,18.15,1,48,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Lecce.163320_IGDG.zip
LAJES,-,PRT,IWEC Data,85090,38.77,-27.1,-1,55,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/PRT_Lajes.085090_IWEC.zip
BUGT,-,CHN,SWERA,506320,48.77,121.92,8,739,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Nei.Mongol.Bugt.506320_SWERA.zip
PEORIA,IL,USA,TMY2-14842,725320,40.67,-89.68,-6,199,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IL_Peoria.725320_TMY2.zip
Yuma Intl Arpt,AZ,USA,TMY3,722800,32.67,-114.6,-7,63,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AZ_Yuma.Intl.AP.722800_TMY3.zip
Redmond,OR,USA,TMY--24230,726835,44.25,-121.15,-8,938,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Redmond-Roberts.Field.726835_TMY.zip
Homer,AK,USA,TMY--25507,703410,59.65,-151.48,-9,25,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Homer.AP.703410_TMY.zip
Weining,Guizhou,CHN,CSWD,566910,26.87,104.28,8,2237.5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Guizhou.Weining.566910_CSWD.zip
Wagga Wagga,NSW,AUS,RMY,949100,-35.17,147.45,10,213,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_NSW.Wagga.Wagga.949100_RMY.zip
FLORES/SANTA_ELENA,GU,GTM,SWERA,786150,16.92,-89.88,-6,115,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/GTM_Flores.786150_SWERA.zip
Cape Hatteras Nws Bldg,NC,USA,TMY3,723040,35.27,-75.55,-5,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NC_Cape.Hatteras.723040_TMY3.zip
Fergus Falls Awos,MN,USA,TMY3,726560,46.28,-96.15,-6,361,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Fergus.Falls.AWOS.726560_TMY3.zip
Albany,NY,USA,TMY--14735,725180,42.75,-73.8,-5,89,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NY_Albany.County.AP.725180_TMY.zip
Riverton Municipl Ap,WY,USA,TMY3,725765,43.05,-108.45,-7,1663,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WY_Riverton.Rgnl.AP.725765_TMY3.zip
Boston Logan IntL Arpt,MA,USA,TMY3,725090,42.37,-71.02,-5,6,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MA_Boston-Logan.Intl.AP.725090_TMY3.zip
Learmonth Airport,WA,AUS,RMY,943020,-22.23,114.08,8,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_WA.Learmonth.Airport.943020_RMY.zip
Gallup Sen Clarke Fld,NM,USA,TMY3,723627,35.52,-108.78,-7,1971,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NM_Gallup-Sen.Clarke.Field.723627_TMY3.zip
Gulkana,AK,USA,TMY--26425,702710,62.15,-145.45,-9,481,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Gulkana.702710_TMY.zip
BALTIMORE,MD,USA,TMY2-93721,724060,39.18,-76.67,-5,47,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MD_Baltimore.724060_TMY2.zip
Shreveport Regional Arpt,LA,USA,TMY3,722480,32.45,-93.82,-6,77,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_LA_Shreveport.Rgnl.AP.722480_TMY3.zip
Fort Worth Alliance,TX,USA,TMY3,722594,32.98,-97.32,-6,226,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Fort.Worth-Alliance.AP.722594_TMY3.zip
Ephrata Ap Fcwos,WA,USA,TMY3,727826,47.3,-119.52,-8,384,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WA_Ephrata.Muni.AP.727826_TMY3.zip
Prince Rupert,BC,CAN,WYEC2-B-25353,718980,54.3,-130.43,-8,34,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_BC_Prince.Rupert.718980_CWEC.zip
NADI,-,FJI,IWEC Data,916800,-17.75,177.45,12,18,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/FJI_Nadi.916800_IWEC.zip
Louisville,KY,USA,TMY--93821,724230,38.18,-85.73,-5,149,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KY_Louisville-Standiford.Field.724230_TMY.zip
MACAU,-,MAC,IWEC Data,450110,22.2,113.53,8,86,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/MAC_Macau.450110_IWEC.zip
Red Bluff,CA,USA,TMY--24216,725910,40.15,-122.25,-8,106,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Red.Bluff.Muni.AP.725910_TMY.zip
St Louis/Int'l Airport,MO,USA,TMY--13994,724340,38.75,-90.37,-6,172,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY.zip
Binghamton Edwin A Link Field,NY,USA,TMY3,725150,42.2,-75.98,-5,488,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.zip
Randolph Afb,TX,USA,TMY3,722536,29.53,-98.28,-6,232,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Randolph.AFB.722536_TMY3.zip
Belmar Asc,NJ,USA,TMY3,724084,40.18,-74.07,-5,26,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NJ_Belmar-Monmouth.County.AP.724084_TMY3.zip
Tucumcari Faa Ap,NM,USA,TMY3,723676,35.18,-103.6,-7,1235,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NM_Tucumcari.AP.723676_TMY3.zip
Malaga,-,ESP,SWEC,84820,36.67,-4.49,1,7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ESP_Malaga.084820_SWEC.zip
ANTOFAGASTA,-,CHL,IWEC Data,854420,-23.43,-70.43,-4,120,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/3_south_america_wmo_region_3/CHL_Antofagasta.854420_IWEC.zip
HUNTSVILLE,AL,USA,TMY2-03856,723230,34.65,-86.77,-6,190,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AL_Huntsville.723230_TMY2.zip
Wichita Mid Continent Ap,KS,USA,TMY3,724500,37.65,-97.43,-6,402,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KS_Wichita-Mid.Continent.AP.724500_TMY3.zip
Ramagundam,Andhra Pradesh,IND,ISHRAE,430860,18.77,79.43,5.5,156,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Ramagundam.430860_ISHRAE.zip
Winona Muni  Awos,MN,USA,TMY3,726588,44.08,-91.7,-6,200,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Winona.Muni.AWOS.726588_TMY3.zip
Chadron Municipal Ap,NE,USA,TMY3,725636,42.83,-103.08,-7,1011,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Chadron.Muni.AP.725636_TMY3.zip
EAU_CLAIRE,WI,USA,TMY2-14991,726435,44.87,-91.48,-6,273,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WI_Eau.Claire.726435_TMY2.zip
NAGOYA,-,JPN,IWEC Data,476350,35.25,136.93,9,17,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/JPN_Nagoya.476350_IWEC.zip
BOSTON,MA,USA,TMY2-14739,725090,42.37,-71.03,-5,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MA_Boston-Logan.725090_TMY2.zip
Sundernagar,Himachal Pradesh,IND,ISHRAE,8204,31.32,76.53,5.5,874,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Sundernagar.8204_ISHRAE.zip
Ukiah Municipal Ap,CA,USA,TMY3,725905,39.13,-123.2,-8,189,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Ukiah.Muni.AP.725905_TMY3.zip
Fort Worth Meacham,TX,USA,TMY3,722596,32.82,-97.37,-6,209,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Fort.Worth-Meacham.AP.722596_TMY3.zip
Fulton Co Arpt Brow,GA,USA,TMY3,722195,33.77,-84.52,-5,263,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_GA_Fulton.County.AP.722195_TMY3.zip
Vernal,UT,USA,TMY3,725705,40.43,-109.52,-7,1608,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_UT_Vernal.AP.725705_TMY3.zip
CHENGDU,-,CHN,SWERA,562940,30.67,104.02,8,508,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Sichuan.Chengdu.562940_SWERA.zip
Long Beach,CA,USA,TMY--23129,722970,33.82,-118.15,-8,12,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Long.Beach-Daugherty.Field.722970_TMY.zip
Covington/Cincinnati O,KY,USA,TMY--93814,724210,39.05,-84.67,-5,267,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY.zip
Torino-Caselle,-,ITA,IGDG,160590,45.18,7.65,1,282,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Torino-Caselle.160590_IGDG.zip
Fort Smith,AR,USA,TMY--13964,723440,35.33,-94.37,-6,141,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AR_Fort.Smith.Rgnl.AP.723440_TMY.zip
Beaumont/Port Arthur,TX,USA,TMY--12917,722410,29.95,-94.02,-6,7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY.zip
Middleton Island Aut,AK,USA,TMY3,703430,59.47,-146.32,-9,14,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Middleton.Island.703430_TMY3.zip
SANTANDER,-,ESP,IWEC Data,80230,43.47,-3.82,1,40,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ESP_Santander.080230_IWEC.zip
Massena,NY,USA,TMY--94725,726223,44.93,-74.85,-5,65,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NY_Massena.AP.726223_TMY.zip
Fargo Hector International Ap,ND,USA,TMY3,727530,46.93,-96.82,-6,274,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.zip
